模块,功能分类,功能名称,功能说明
全局,导航与布局,统一导航入口,提供仪表盘、交互式沙箱、批量任务、模型管理、数据集、文件管理、管理中心等页面入口
全局,展示能力,响应式管理界面,支持桌面端管理视图与多模块切换浏览
仪表盘,资源概览,个人任务概览,查看个人活跃批量任务数量与等待中任务数量
仪表盘,资源概览,GPU使用概览,查看当前使用中的GPU数量与对应任务数
仪表盘,成本分析,实时成本概览,查看当前每小时资源成本预估
仪表盘,成本分析,GPU时长统计,查看当日累计GPU使用时长
仪表盘,趋势分析,成本趋势图,按时间查看最近周期的成本变化趋势
仪表盘,资源分析,GPU分布图,查看不同GPU型号的使用分布情况
仪表盘,任务追踪,最近任务列表,查看最近任务的状态、GPU规格与更新时间
交互式沙箱,沙箱管理,沙箱列表,查看当前交互式沙箱实例清单
交互式沙箱,沙箱创建,分步创建沙箱,通过分步表单完成沙箱创建配置
交互式沙箱,镜像配置,自定义镜像地址,支持填写容器镜像仓库地址与镜像信息
交互式沙箱,资源配置,GPU型号选择,支持为沙箱选择GPU型号
交互式沙箱,资源配置,GPU数量选择,支持配置独占或共享GPU数量
交互式沙箱,连接方式,开发入口展示,提供终端与 VS Code 类开发工作流入口信息
交互式沙箱,运行监控,实时日志查看,在详情面板查看沙箱运行日志
交互式沙箱,运行监控,运行摘要查看,查看当前沙箱运行状态与资源摘要
交互式沙箱,性能监控,GPU使用率监控,查看沙箱GPU使用率数据
交互式沙箱,性能监控,GPU功耗监控,查看沙箱GPU功耗数据
交互式沙箱,生命周期管理,停止沙箱,支持停止沙箱并释放GPU资源
交互式沙箱,生命周期管理,删除沙箱,支持删除沙箱并进行名称确认
批量任务,任务总览,任务列表查看,查看批量训练任务清单
批量任务,任务筛选,按状态筛选,按运行中、排队中、已暂停、已完成、失败等状态筛选任务
批量任务,任务筛选,按负责人筛选,按任务负责人筛选任务
批量任务,任务创建,分步创建任务,通过基础设置、资源库、GPU选择与配置三步创建任务
批量任务,任务创建,代码源任务创建,支持填写Git仓库、分支与入口脚本创建任务
批量任务,任务创建,镜像任务创建,支持基于镜像地址与启动命令创建任务
批量任务,资源库选择,模型选择,创建任务时可选择模型资源
批量任务,资源库选择,数据集选择,创建任务时可选择数据集资源
批量任务,资源配置,GPU型号选择,支持A100、H100、L40s、V100等GPU型号选择
批量任务,资源配置,GPU数量与共享模式,支持独占GPU和共享GPU模式配置
批量任务,资源配置,优先级配置,支持低、普通、高、紧急等任务优先级设置
批量任务,资源配置,超时控制,支持设置任务运行超时时长
批量任务,成本估算,小时成本估算,根据GPU规格与优先级显示预估小时成本
批量任务,执行控制,暂停任务,支持暂停任务
批量任务,执行控制,重启任务,支持重启任务
批量任务,执行控制,删除任务,支持删除任务并进行确认
批量任务,运行追踪,任务进度查看,查看训练步数、总步数与阶段进度
批量任务,运行追踪,训练指标查看,查看损失、准确率、F1、BLEU、WER等任务指标
批量任务,运行追踪,吞吐信息查看,查看样本或Token吞吐信息
模型管理,模型资产,模型列表查看,查看平台内模型清单
模型管理,模型资产,模型版本查看,查看模型版本与基础信息
模型管理,模型运维,模型操作入口,提供模型相关管理操作入口
数据集管理,数据资产,数据集列表查看,查看平台内数据集清单
数据集管理,数据资产,数据集选择,在任务创建流程中选择可用数据集
数据集管理,数据资产,数据集信息展示,展示数据集基础信息与状态
文件管理,文件资产,文件列表查看,查看共享文件与产物清单
文件管理,文件资产,文件分类管理,面向数据文件、训练产物等内容进行统一展示
文件管理,文件操作,文件管理入口,提供文件相关操作入口
管理中心,集群资源,集群节点总览,查看集群节点与GPU硬件状态
管理中心,集群资源,GPU健康状态查看,查看节点内GPU使用率与运行状态
管理中心,工作区治理,团队工作区管理,按团队维度管理工作区资源
管理中心,工作区治理,团队创建与管理,支持创建团队并维护团队信息
管理中心,工作区治理,团队删除确认,支持删除团队并进行名称确认
管理中心,成员管理,成员列表管理,查看团队成员清单
管理中心,成员管理,成员创建与编辑,支持新增和编辑团队成员信息
管理中心,成员管理,成员删除,支持移除团队成员
管理中心,配额管理,GPU保底配额管理,设置团队始终可用的最低GPU配额
管理中心,配额管理,GPU弹性上限管理,设置团队可借用的GPU弹性上限
管理中心,配额管理,成员GPU配额管理,为成员设置可使用GPU额度
管理中心,访问控制,GPU访问控制,控制成员是否拥有全部GPU访问权限
管理中心,访问控制,GPU白名单配置,按成员配置可访问的GPU型号白名单
管理中心,调度策略,团队抢占策略查看,查看团队资源抢占与共享策略说明
管理中心,调度策略,策略切换入口,提供不同工作区资源策略的管理入口
