"一级模块","二级模块","功能点","入口/页面","当前能力说明","状态"
"全局框架","导航布局","左侧导航切换","全局 Layout","提供侧边栏导航，可切换仪表盘、沙箱环境、批量任务、模型、数据集、文件、节点、管理中心、账户设置等页面","已实现"
"全局框架","导航布局","顶部搜索框","全局 Layout","顶部提供统一搜索输入框，当前为界面级输入入口，未看到实际搜索结果联动逻辑","部分实现"
"全局框架","导航布局","系统利用率展示","全局 Layout","顶部展示平台利用率指标，如 GPU 利用率状态卡","已实现"
"全局框架","导航布局","通知入口","全局 Layout","顶部提供通知按钮和红点提醒样式","已实现"
"全局框架","导航布局","账户快捷入口","全局 Layout","顶部头像区和左下账户设置入口均可进入账户设置页面","已实现"
"仪表盘","个人概览","我的仪表盘首页","仪表盘页面","展示当前用户的个人资源概览与近期活动","已实现"
"仪表盘","指标卡","活跃批量任务数","仪表盘页面","展示当前用户活跃批量任务数及等待中的任务数","已实现"
"仪表盘","指标卡","使用中的 GPU 数","仪表盘页面","展示当前运行任务累计使用的 GPU 数量，支持整数和小数展示","已实现"
"仪表盘","指标卡","每小时成本","仪表盘页面","按当前运行任务估算每小时成本，当前以 RMB 展示","已实现"
"仪表盘","指标卡","今日 GPU 时长","仪表盘页面","按任务创建时间和运行状态模拟累计 GPU 使用时长","已实现"
"仪表盘","趋势分析","成本趋势图","仪表盘页面","展示最近 7 天成本趋势面积图，并显示本周总计","已实现"
"仪表盘","资源分析","GPU 使用分布","仪表盘页面","以饼图展示不同 GPU 型号的使用分布","已实现"
"仪表盘","活动追踪","最近活动列表","仪表盘页面","按更新时间展示当前用户近期工作负载活动","已实现"
"沙箱环境","列表页","沙箱环境列表","沙箱环境页面","展示交互式沙箱列表，采用深色卡片/列表样式，记录已扩充为多条模拟数据","已实现"
"沙箱环境","列表页","列表搜索","沙箱环境页面","支持按名称、ID、所有者、GPU 型号、状态进行前端过滤","已实现"
"沙箱环境","列表页","状态展示","沙箱环境页面","支持运行中、排队中、已暂停、已完成、失败、已停止等状态视觉展示","已实现"
"沙箱环境","列表页","圆角统一样式","沙箱环境页面","沙箱列表和弹窗统一采用 8px 圆角矩形风格","已实现"
"沙箱环境","列表页","行点击进入详情","沙箱环境页面","点击任意沙箱记录可打开沙箱详情弹窗","已实现"
"沙箱环境","新建沙箱","新建沙箱入口","沙箱环境页面右上角","支持点击右上角按钮打开新建沙箱弹窗","已实现"
"沙箱环境","新建沙箱","多步骤弹窗","新建沙箱弹窗","新建沙箱弹窗采用固定高度多 tab 结构，支持稳定的步骤切换体验","已实现"
"沙箱环境","新建沙箱","基础设置","新建沙箱弹窗-基础设置","支持填写名称、优先级、模型、数据集、ConfigMap、接口类型等基础信息","已实现"
"沙箱环境","新建沙箱","ConfigMap 预置选项","新建沙箱弹窗-基础设置","支持选择无、app-config、training-params、model-config 等预置 ConfigMap","已实现"
"沙箱环境","新建沙箱","ConfigMap 自定义配置","新建沙箱弹窗-基础设置","下拉中支持选择自定义配置，并显示配置名称和配置内容编辑区","已实现"
"沙箱环境","新建沙箱","统一下拉交互","新建沙箱弹窗","下拉框采用统一的深色样式与交互方式，支持展开与收起","已实现"
"沙箱环境","新建沙箱","GPU 选择与配置","新建沙箱弹窗-GPU选择&配置","支持独占与共享两种 GPU 配置模式","已实现"
"沙箱环境","新建沙箱","独占 GPU 配置","新建沙箱弹窗-GPU选择&配置","独占模式可选 1 到 8 张 GPU","已实现"
"沙箱环境","新建沙箱","共享 GPU 配置","新建沙箱弹窗-GPU选择&配置","共享模式只支持 0.5 和 0.25 两种规格","已实现"
"沙箱环境","新建沙箱","GPU 卡型选择","新建沙箱弹窗-GPU选择&配置","支持在 A100、H100、L40s、V100 卡型之间切换","已实现"
"沙箱环境","新建沙箱","GPU 成本预估","新建沙箱弹窗","根据 GPU 卡型和规格动态展示预估成本、日成本、月成本，当前以 RMB 展示","已实现"
"沙箱环境","新建沙箱","环境变量配置","新建沙箱弹窗-环境变量","支持新增、编辑、删除环境变量键值对","已实现"
"沙箱环境","新建沙箱","步骤流转","新建沙箱弹窗","基础设置、GPU选择&配置、环境变量按步骤推进，最后执行部署","已实现"
"沙箱环境","新建沙箱","渐变弹窗样式","新建沙箱弹窗","弹窗采用深色渐变背景、蓝色描边、8px 圆角视觉规范","已实现"
"沙箱环境","详情弹窗","沙箱详情查看","沙箱列表行点击","支持打开沙箱详情弹窗查看当前沙箱详细信息","已实现"
"沙箱环境","详情弹窗","详情多标签","沙箱详情弹窗","提供修改代码与连接、环境状态、沙盒运行记录三个标签页","已实现"
"沙箱环境","详情弹窗","连接信息展示","沙箱详情弹窗-修改代码与连接","展示连接方式、代码修改入口、复制连接信息等能力","已实现"
"沙箱环境","详情弹窗","连接信息复制","沙箱详情弹窗-修改代码与连接","支持复制连接信息，并有复制状态反馈","已实现"
